ac_monthly,poa_monthly,solrad_monthly,dc_monthly,ac_annual,solrad_annual,capacity_factor,latitude,longitude
"[126643.6284333316, 123642.4656084192, 146079.2774699675, 147951.3493681794, 141558.2623879894, 147172.2908907748, 151032.7326052884, 160805.2031438888, 151512.1999727587, 148120.6361132404, 130405.7137728279, 121817.5668293786]","[160.3371500625433, 157.9419747969732, 190.0174626969501, 194.1019270686726, 188.5372349375859, 198.7480055173447, 208.4820407824, 219.7711642699739, 204.958253329745, 198.8652925513853, 167.8019380513161, 151.2390530871053]","[5.172166131049785, 5.640784814177614, 6.129595570869357, 6.470064235622418, 6.081846288309224, 6.624933517244824, 6.725227122012902, 7.08939239580561, 6.831941777658168, 6.415009437141461, 5.593397935043869, 4.878679131842108]","[132621.8932622115, 129576.8218587892, 153178.7410639772, 154963.9850215741, 148497.1650550455, 154302.7419519192, 158361.2626023656, 168400.8798833083, 158540.9649802246, 154955.3569232657, 136488.9920489779, 127556.6367536992]",1696741.326596043,6.137753196398112,19.36919322598227,34.08245206059089,-117.3960478247602
"[126868.3514493219, 123183.8261829259, 150337.1685220197, 144965.6450392331, 143842.2781089495, 147322.9651378001, 152286.4080099037, 156127.9278218331, 145675.8031600837, 146079.3375972487, 132989.6348321114, 120755.3506529211]","[163.6214888471466, 159.1281172506521, 198.7699441086633, 193.9654751010179, 193.6293757250817, 202.8809946203359, 212.8422825855685, 217.2383165155937, 198.5424660450745, 198.7044539436118, 173.9827707515032, 152.2311626734471]","[5.278112543456341, 5.683147044666148, 6.411933680924621, 6.465515836700598, 6.246108894357473, 6.762699820677863, 6.865880083405434, 7.007687629535281, 6.618082201502484, 6.409821094955221, 5.799425691716774, 4.910682666885389]","[132793.0245010775, 128887.8434912795, 157389.8902340643, 151842.3459834279, 150861.8195505137, 154460.8224774472, 159663.2827327248, 163553.1332500464, 152482.4315062323, 152846.8852834417, 139159.9108615873, 126438.3758720662]",1690434.696514349,6.204924765731969,19.29719973189896,33.71092388667484,-117.13717714045092
"[81871.68545656932, 90825.3059124629, 139086.2644437237, 139823.6788595418, 157254.7717904669, 151501.0480118474, 159523.8090824, 164753.4432682406, 155015.5206577498, 139536.9082171588, 104764.4535755422, 82235.3692309869]","[100.9587614211884, 113.1211746079644, 177.8139582522609, 183.2642082637153, 211.4583720007102, 211.8279995341224, 226.0721538941472, 230.5534108369694, 214.1566122790948, 183.1183891557758, 130.9980168406599, 100.7526632952621]","[3.256734239393176, 4.040041950284444, 5.735934137169708, 6.108806942123842, 6.821237806474524, 7.06093331780408, 7.292650125617651, 7.437206801192563, 7.138553742636494, 5.907044811476641, 4.36660056135533, 3.250085912750389]","[86019.00030301968, 95337.82386751169, 145682.3508513091, 146534.7566400329, 164815.0090020379, 158836.8592602546, 167183.4876371504, 172513.8385105864, 162188.0293450868, 146027.0110209881, 109840.506002283, 86393.52455917922]",1566192.258506687,5.701319195689904,17.87890706057859,39.94868638558109,-122.35773594068836
"[93225.92555313384, 117872.5185756382, 133564.7862677278, 148501.1937054046, 155853.989237128, 158889.2232248152, 167670.2442906281, 169933.8464760075, 163362.0460489722, 151530.2693830612, 104708.4757273202, 92318.54297008325]","[113.2858897184085, 147.74228808641, 170.2504321365714, 191.348032213676, 204.1679201967583, 211.1817691117761, 224.3040702784023, 228.1341922098493, 218.8643445579936, 196.0762565751459, 131.9068606793884, 113.8719702653024]","[3.654383539303501, 5.276510288800359, 5.491949423760366, 6.378267740455867, 6.586061941830913, 7.03939230372587, 7.235615170271044, 7.3591674906403, 7.29547815193312, 6.325040534682126, 4.396895355979614, 3.673289363396851]","[97835.782674236, 123415.2943375236, 139980.076547994, 155532.185733229, 163350.3776947582, 166451.9747661275, 175613.1008281405, 177871.5687338512, 170842.5597186118, 158547.9760290413, 109769.3832233608, 96964.99810088931]",1657431.061459919,5.892670942064995,18.92044590707672,37.93461260066779,-121.6458415588378
"[96173.72130512354, 120312.542412835, 141419.0665241048, 145298.9256007299, 154791.2778254377, 158918.5962184909, 168897.1032842219, 168628.5099522149, 158535.8658060301, 148184.9929220064, 111810.0938716643, 93338.98243801916]","[116.6067532589445, 150.3203686240996, 179.493614030984, 187.2255059357362, 202.343383071907, 210.1496332360776, 224.1927485420469, 225.0102803072207, 211.3030587482932, 191.5044621468173, 139.8883795579747, 114.8916533246611]","[3.761508169643369, 5.368584593717842, 5.790116581644644, 6.240850197857872, 6.527205905545387, 7.004987774535919, 7.232024146517642, 7.258396138942603, 7.043435291609772, 6.177563295058622, 4.662945985265823, 3.706182365311648]","[100873.0371669258, 125951.7057612103, 148151.4015651881, 152259.6233533809, 162245.8280803383, 166482.426796308, 176885.02930477, 176512.1498262949, 165837.0145926706, 155092.654364834, 117143.4876913207, 98018.72952655706]",1666309.678160879,5.897816703804263,19.02179997900546,37.973720829501055,-121.99100247125018
"[144686.0204835207, 142229.2249348187, 170313.364856691, 165814.5749411751, 163990.3769986156, 153714.6455553964, 144384.5014000692, 152431.3015250205, 156643.0160209152, 161068.3061801889, 144985.4926139867, 144515.587191137]","[176.4281780776011, 176.0505798260508, 216.4247386195171, 214.7032375915171, 219.6911226311533, 210.3044688107102, 201.3404758185897, 211.5644774313069, 211.5179728895658, 209.7464798856815, 179.3428506806553, 173.60144854872]","[5.691231550890357, 6.287520708073243, 6.981443181274746, 7.156774586383903, 7.08681040745656, 7.010148960357008, 6.494854058664182, 6.824660562300223, 7.050599096318861, 6.766015480183273, 5.978095022688511, 5.600046727378064]","[151422.9156741159, 149406.6120426671, 178628.4731260573, 173574.2958716849, 171720.9675718858, 161085.690053554, 151467.6811889613, 159695.2956487058, 163880.188956796, 168381.6134079496, 151601.6963942762, 151239.8859722034]",1844776.412701536,6.577350028497411,21.05909146919555,35.19703658233903,-114.95834888084768
"[126074.4942367308, 120529.2321215923, 149081.9896847684, 145525.8183947547, 143608.728445966, 145446.5290469929, 151241.1145615705, 152742.8354322565, 155137.5682420515, 148803.0687322436, 135855.3878823021, 119423.1894808275]","[162.7338842328382, 155.8581580121921, 197.0712622808407, 194.5688380003284, 194.5780307023616, 201.0295770977165, 212.0669165520837, 213.7785549921058, 213.8856468683539, 202.3447603406529, 177.7092461679711, 150.3428763027626]","[5.249480136543167, 5.566362786149718, 6.357137492930345, 6.485627933344281, 6.276710667818118, 6.700985903257218, 6.840868275873668, 6.896082419100187, 7.129521562278464, 6.527250333569448, 5.92364153893237, 4.849770203314924]","[131977.8311703706, 126132.2529997009, 156080.5998650298, 152422.9804836169, 150626.4783032248, 152515.4542558868, 158580.436065733, 160044.5507966652, 162299.513569802, 155668.8310364643, 142129.5348646593, 125041.1319067999]",1693469.956262057,6.233619937759325,19.33184881577691,33.73047800109148,-117.05088691234782
"[81240.84720278814, 107083.8875681838, 131860.0575093862, 139348.0592139758, 150113.3600310569, 151860.3652113485, 160774.2653308346, 158970.6470612092, 158970.5164221953, 144612.2696289788, 95109.07417220276, 85242.16937807632]","[101.4578394091906, 134.6070359934801, 169.727514882488, 181.6843782048582, 200.1056861014667, 207.5984518434029, 223.0473247340312, 221.1956659337205, 217.0932869645239, 189.8622539717483, 121.6321757707146, 105.398495934902]","[3.272833529328728, 4.807394142624289, 5.475081125241549, 6.056145940161941, 6.455022132305377, 6.919948394780095, 7.195074991420362, 7.135344062378082, 7.236442898817463, 6.124588837798333, 4.054405859023819, 3.399951481771031]","[85450.27752927909, 112295.6811837361, 138160.7911236042, 146046.7314167336, 157406.8273659377, 159162.3523433033, 168463.7934839397, 166515.0275841232, 166289.704323309, 151294.4673885478, 99800.43693689603, 89601.56183258064]",1565185.518730232,5.677686116304256,17.86741459737707,39.24473826658227,-121.6458415588378
"[137935.0283246944, 135746.201759988, 168073.3884086921, 158800.4917296908, 157065.0244882096, 142567.105535445, 141285.7028633779, 145608.5591731958, 148597.2525735915, 159026.1440410276, 140333.3444771568, 132812.0347551608]","[176.3033252950302, 172.1118549715359, 221.6133328971468, 212.0159385670177, 216.2974040090027, 202.2610780901049, 202.2381093450607, 209.7641866482473, 209.0845623172508, 215.0846201379778, 184.2551586699255, 166.5054018268702]","[5.687204041775168, 6.14685196326914, 7.148817190230544, 7.067197952233925, 6.977335613193635, 6.742035936336832, 6.523809978872925, 6.766586666072493, 6.969485410575027, 6.938213552837992, 6.14183862233085, 5.371141994415166]","[144303.0351528084, 142079.3136909772, 175837.9262019664, 166200.7270239402, 164518.0903267508, 149530.0016589986, 148251.9104906933, 152619.5323914992, 155515.1030359143, 166266.1624430597, 146751.8144480219, 138871.9869630235]",1767850.27813023,6.540043243511974,20.18093924806202,32.79188050909305,-115.41137257838896
"[145004.9851933493, 136230.475867886, 173270.3834784879, 163700.5449456758, 162425.9781789189, 152044.7062444047, 146805.5665845321, 155029.376095521, 158681.1646255348, 164637.7633359225, 143333.1279390637, 143103.4199169177]","[180.7846473831154, 171.8894079253695, 224.043514410261, 215.9742571542448, 221.0088011964764, 210.1118741623228, 208.6743993632756, 218.9342455774055, 219.7066254432436, 218.7064362186499, 180.7802598834603, 174.4180579542919]","[5.831762818810176, 6.138907425906052, 7.227210142266483, 7.199141905141492, 7.129316167628271, 7.003729138744093, 6.731432237525019, 7.062395018625983, 7.323554181441454, 7.055046329633869, 6.026008662782011, 5.626388966267481]","[151716.3325228928, 142928.4084908232, 181548.6962287184, 171283.6727389173, 170130.9822713068, 159355.2919662893, 153967.4742514588, 162412.9029931005, 165981.222556109, 172144.0419245159, 149864.514443174, 149659.4707323062]",1844267.492406211,6.696241082897699,21.05328187678333,34.825508408422984,-116.4684278726519
